slug,name,borough,neighborhood,address,cuisines,price_tiers,meal_periods,weeks,sunday_participation,menu_url,reservation_link,listing_url,website,menu_parse_quality
soogil,Soogil,Manhattan,East Village,"108 E. 4th St., Manhattan, NY, 10003","[""Korean""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,,https://www.nyctourism.com/restaurant-week/soogil/,https://www.soogil.com,
sotto-la-luna,Sotto la Luna,Queens,Astoria,"34-39 31st St., Queens, NY, 11106","[""Italian"", ""Pizza""]","[""$30"", ""$45""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/49755-SottolaLuna-menu.pdf,,https://www.nyctourism.com/restaurant-week/sotto-la-luna/,https://www.sottolalunanyc.com,partial
steak-frites-bistro,Steak Frites Bistro,Manhattan,Garment District,"496 Ninth Ave., Manhattan, NY, 10018","[""French""]","[""$45"", ""$60""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/47957-SteakFritesBistro-menu.pdf,,https://www.nyctourism.com/restaurant-week/steak-frites-bistro/,https://www.steakfritesbistro.com,partial
stella-34-trattoria,Stella 34 Trattoria,Manhattan,Herald Square,"Macy's Herald Square, 151 W. 34th St., 6th fl., Manhattan, NY, 10001","[""Italian""]","[""$45"", ""$60""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/37733-Stella34Trattoria-menu.pdf,https://www.opentable.com/restref/client/?rid=102115,https://www.nyctourism.com/restaurant-week/stella-34-trattoria/,https://www.stella34.com,full
stout-nyc-bryant-park,Stout NYC Bryant Park,Manhattan,Garment District,"109 W. 39th St., Manhattan, NY, 10018","[""American (Traditional)"", ""Irish""]","[""$30""]","[""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",0,,,https://www.nyctourism.com/restaurant-week/stout-nyc-bryant-park/,https://www.stoutnyc.com/location/stout-nyc-bryant-park,
stout-nyc-financial-district,Stout NYC Financial District,Manhattan,Lower Manhattan,"90 John St., Manhattan, NY, 10038","[""American (Traditional)"", ""Irish""]","[""$30""]","[""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",0,,,https://www.nyctourism.com/restaurant-week/stout-nyc-financial-district/,https://www.stoutnyc.com/location/stout-nyc-financial-district,
stout-nyc-grand-central,Stout NYC Grand Central,Manhattan,Murray Hill,"60 E. 41st St., Manhattan, NY, 10017","[""American (Traditional)"", ""Irish""]","[""$30""]","[""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",0,,,https://www.nyctourism.com/restaurant-week/stout-nyc-grand-central/,https://www.stoutnyc.com/location/stout-nyc-grand-central,
stout-nyc-penn-station,Stout NYC Penn Station,Manhattan,Herald Square,"215 W. 35th St., Manhattan, NY, 10001","[""American (Traditional)"", ""Irish""]","[""$30""]","[""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",0,,,https://www.nyctourism.com/restaurant-week/stout-nyc-penn-station/,https://www.stoutnyc.com/location/stout-nyc-penn-station,
strange-delight,Strange Delight,Brooklyn,Fort Greene,"63 Lafayette Ave., Brooklyn, NY, 11217","[""Seafood""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/51363-StrangeDelight-menu.pdf,,https://www.nyctourism.com/restaurant-week/strange-delight/,https://www.strangedelight.nyc,failed
strip-house-downtown,Strip House Downtown,Manhattan,Greenwich Village,"13 E. 12th St., Manhattan, NY, 10003","[""Steakhouse""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/18274-StripHouseDowntown-menu.pdf,https://www.opentable.com/restref/client/?rid=3181,https://www.nyctourism.com/restaurant-week/strip-house-downtown/,https://www.striphouse.com/location/striphouse-downtown,partial
